Source,Fishing period,Species fishing year start month,Species code,Fishstock Code,Fishstock fishing year start month,Name,TAC allowance,Reported comm. catch (kg),Reported comm. catch (units),TACC (kg),Cust. allow. (kg),Rec. allow. (kg),Target,In QMS
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCH,SCH7,10,School Shark Challenger,789000,596370,,641000,58000,58000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GSH,GSH3,10,Ghost Shark South-East(Coast),1185000,583975,,1185000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SKI,SKI7,10,Gemfish Challenger,300000,583192,,300000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GUR,GUR2,10,Gurnard Central (East),,560450,,725462,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SWA,SWA1,10,Silver Warehou Auckland (East),3003000,543016,,3000000,1000,2000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GSP,GSP1,10,Pale Ghost Shark,1208000,524926,,1150000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SSK,SSK3,10,"Smooth Skate 3, 4, 5 and 6 (Combined)",587000,510618,,579000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPE,SPE4,10,Sea Perch South-East(Chatham Rise),956000,490371,,910000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,ORH,ORH2A,10,Orange Roughy Central (Gisbourne),512000,484836,,488000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SWO,SWO1,10,Swordfish 1 - 10 (Combined),919000,475014,,885000,10000,20000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GSP,GSP5,10,Pale Ghost Shark,477000,469445,,454000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SKI,SKI3,10,Gemfish South East (Coast),300000,466004,,300394,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,MOK,MOK1,10,Blue Moki Auckland (East),,434853,,402605,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SUR,SUR5,10,Kina Southland,480000,421630,,455000,10000,10000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LIN,LIN1,10,Ling Auckland (East),463000,414666,,400000,20000,40000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,FRO,FRO8,10,Frostfish Central(West),649000,380156,,649000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCH,SCH8,10,School Shark Central (Egmont),597000,373387,,529000,21000,21000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SNA,SNA2,10,Snapper Central (East),450000,372833,,315000,14000,90000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,FLA,FLA1,10,Flatfish 1 & 9 Combined,1762000,368908,,1187300,270000,270000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,CRA,CRA6,4,Spiny red rock lobster Chatham Islands,370000,364331,,360000,4000,6000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,CRA,CRA5,4,Spiny red rock lobster Canterbury/Marlborough,514000,362279,,350000,40000,87000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCH,SCH3,10,School Shark South East (Coast),502000,356756,,387000,48000,48000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,KAH,KAH8,10,Kahawai 8 and 9 (Combined),1040000,345318,,520000,115000,385000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,HPB,HPB3,10,Hapuku & Bass South East (Coast),537600,344203,,335100,1000,195000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCI,SCI3,10,Scampi South East Coast & Western Chatham Is,357000,336557,,340000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GSH,GSH7,10,Ghost Shark Challenger,1121000,329093,,1121000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,JDO,JDO1,10,John Dory Auckland (East),,321646,,704000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LDO,LDO3,10,"Lookdown Dory 3,4,5, and 6 (Combined)",614000,320073,,614000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPO,SPO1,10,Rig Auckland (East),752064,317266,,692064,20000,25000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,CRA,CRA4,4,Spiny red rock lobster Wellington/Hawkes Bay,513800,315765,,318800,35000,85000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCI,SCI6A,10,Scampi Auckland Islands,321000,295329,,306000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RIB,RIB7,10,Ribaldo Challenger,330000,290494,,330000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RBM,RBM1,10,Ray's Bream 1 - 10 (Combined),1045000,289677,,980000,5000,10000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SKI,SKI2,10,Gemfish Central (East),248000,285502,,240000,3000,5000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,WWA,WWA3,10,White Warehou South-East(Coast),585000,281841,,583000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SKI,SKI1,10,Gemfish Auckland (East),218000,277397,,210000,3000,5000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,HPB,HPB1,10,Hapuku & Bass 1 & 9 Combined,,276071,,480800,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,TRE,TRE2,10,Trevally Central (East),349263,272750,,241263,1000,100000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,HAK,HAK4,10,Hake Chatham Rise,1818000,267402,,1800000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BNS,BNS2,10,Bluenose Central (East),279000,266608,,247000,2000,25000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SNA,SNA7,10,Snapper Challenger,545000,263025,,250000,20000,250000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,COC,COC7A,10,Cockle Nelson Bays cockle fishery,1510000,253655,,1390000,25000,85000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPO,SPO7,10,Rig Challenger,306000,246560,,246000,15000,33000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LDO,LDO1,10,"Lookdown Dory 1,2,7,8, and 9 (Combined)",168000,244278,,168000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,CRA,CRA3,4,Spiny red rock lobster Gisborne,366860,239165,,237860,20000,20000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,CDL,CDL2,10,Cardinalfish Central(East),460000,236167,,440000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,PIL,PIL7,10,Pilchards  Challenger,165000,232745,,150000,5000,10000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,PIL,PIL1,10,Pilchards  Auckland(East),2030000,229197,,2000000,10000,20000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,TAR,TAR8,10,Tarakihi Central (Egmont),,215346,,225400,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GUR,GUR8,10,Gurnard Central (Egmont),,208534,,543200,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BNS,BNS1,10,Bluenose Auckland (East),251000,208406,,230000,2000,15000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,SBW,SBW6A,4,Southern Blue Whiting Auckland Islands,1640000,203502,,1640000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,PAU,PAU4,10,Paua South-East (Chatham Rise),,203026,,326543,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,JDO,JDO7,10,John Dory Challenger,206000,202668,,190000,2000,4000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,SAE,SAE3,4,Triangle shell South-East (Coast),483000,200426,,459000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SSK,SSK7,10,Smooth Skate Challenger,217000,198142,,213000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GSH,GSH4,10,Ghost Shark South-East(Chatham Rise),370000,197698,,370000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RIB,RIB3,10,Ribaldo South-East(Coast),394000,197640,,394000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SUR,SUR4,10,Kina South-East (Chatham Rise),255000,189422,,225000,20000,7000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RIB,RIB4,10,Ribaldo South-East(Chatham Rise),357000,182482,,357000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RIB,RIB6,10,Ribaldo Sub-Antartic,231000,181702,,231000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCH,SCH4,10,School Shark Chatham Rise,,179648,,238500,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,MOK,MOK3,10,Blue Moki South East (Coast),197000,178001,,160000,1000,20000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BCO,BCO3,10,Blue Cod South East (Coast),,173687,,162732,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPD,SPD1,10,Spiny Dogfish 1 and 2 (Combined),413000,168971,,331000,39000,39000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCH,SCH2,10,School Shark Central (East),,165059,,198600,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,PIL,PIL8,10,"Pilchard Central(West), Auckland(West)",80000,161916,,65000,5000,10000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,HPB,HPB2,10,Hapuku & Bass Central (East),,159122,,266200,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPO,SPO8,10,Rig Central (Egmont),401000,158999,,310000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,HPB,HPB5,10,Hapuku & Bass 5 & 6 Combined,,158282,,451300,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,PDO,PDO7,4,Deepwater tuatua Challenger,200000,156750,,184000,5000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RIB,RIB2,10,Ribaldo Central(East),176000,154997,,176000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RSK,RSK7,10,Rough Skate Challenger,205000,152981,,201000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCI,SCI2,10,Scampi Central (East),161000,152374,,153000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GLM,GLM9,10,Green-lipped mussel Auckland (West),278000,151890,,180000,59000,39000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RCO,RCO2,10,Red Cod Central (East),554000,150818,,500000,5000,24000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPD,SPD8,10,Spiny Dogfish 8 and 9 (Combined),392000,149893,,307000,41000,41000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SFE,SFE13,2,Short-finned eel Lake Ellesmere,171940,144497,,134120,34380,3440,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,HPB,HPB4,10,Hapuku & Bass Chatham Rise,,141850,,322600,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,WWA,WWA7,10,White Warehou Challenger,129000,139384,,127000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BNS,BNS3,10,Bluenose South East (Coast),114000,138903,,93000,2000,18000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,CRA,CRA1,4,Spiny red rock lobster Northland,273062,137525,,131062,20000,50000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BIG,BIG1,10,Bigeye Tuna 1 - 10 (Combined),740000,136684,,714000,4000,8000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SUR,SUR1B,10,Kina Hauraki Gulf and Bay of Plenty,324000,136200,,140000,90000,90000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,JDO,JDO2,10,John Dory Central (East),,135109,,269500,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LEA,LEA3,10,"Leatherjacket 3, 5 and 6 (Combined)",140000,134565,,130000,1000,2000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,WAR,WAR8,10,Blue Warehou Central (Egmont),,134445,,232800,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,CRA,CRA2,4,Spiny red rock lobster Bay of Plenty,173000,133280,,80000,16500,34000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,CDL,CDL3,10,Cardinalfish South-East(Coast),196000,131124,,196000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,ELE,ELE5,10,Elephant Fish 5 & 6 Combined,188500,126488,,170000,5000,5000,No,Yes
