"","species","fishing_year","avg_price","wt_ace_2","wt_ace_1"
"118","Blue Mackerel","2016",0.414,0.1035,0.3105
"119","Blue Mackerel","2017",0.412,0.103,0.309
"120","Blue Mackerel","2018",0.4080820446,0.10202051115,0.30606153345
"121","Blue Mackerel","2019",0.3393997368,0.0848499342,0.2545498026
"122","Blue Mackerel","2020",0.4048277244,0.1012069311,0.3036207933
"123","Blue Mackerel","2021",0.4048277244,0.1012069311,0.3036207933
"124","Blue Moki","2008",0.91,0.2275,0.6825
"125","Blue Moki","2009",0.91,0.2275,0.6825
"126","Blue Moki","2010",1.562,0.3905,1.1715
"127","Blue Moki","2011",1.62,0.405,1.215
"128","Blue Moki","2012",1.606,0.4015,1.2045
"129","Blue Moki","2013",1.318,0.3295,0.9885
"130","Blue Moki","2014",1.354,0.3385,1.0155
"131","Blue Moki","2015",1.502,0.3755,1.1265
"132","Blue Moki","2016",2.058,0.5145,1.5435
"133","Blue Moki","2017",1.42,0.355,1.065
"134","Blue Moki","2018",1.5563903484,0.3890975871,1.1672927613
"135","Blue Moki","2019",1.6851686102,0.42129215255,1.26387645765
"136","Blue Moki","2020",1.7594320512,0.4398580128,1.3195740384
"137","Blue Moki","2021",1.755681953,0.43892048825,1.31676146475
"138","Blue Shark","2008",0.4,0.1,0.3
"139","Blue Shark","2009",0.4,0.1,0.3
"140","Blue Shark","2010",0.57,0.1425,0.4275
"141","Blue Shark","2011",0.57,0.1425,0.4275
"142","Blue Shark","2012",0.57,0.1425,0.4275
"143","Blue Shark","2013",0.57,0.1425,0.4275
"144","Blue Shark","2014",0.49,0.1225,0.3675
"145","Blue Shark","2015",0.13,0.0325,0.0975
"146","Blue Shark","2016",0.13,0.0325,0.0975
"147","Blue Shark","2017",0.13,0.0325,0.0975
"148","Blue Shark","2018",0.12517815,0.0312945375,0.0938836125
"149","Blue Shark","2019",0.12517815,0.0312945375,0.0938836125
"150","Blue Shark","2020",0.12517815,0.0312945375,0.0938836125
"151","Blue Shark","2021",0.12517815,0.0312945375,0.0938836125
"152","Blue Warehou","2008",0.966666666666667,0.241666666666667,0.725
"153","Blue Warehou","2009",0.966666666666667,0.241666666666667,0.725
"154","Blue Warehou","2010",1.94,0.485,1.455
"155","Blue Warehou","2011",1.535,0.38375,1.15125
"156","Blue Warehou","2012",1.52333333333333,0.380833333333333,1.1425
"157","Blue Warehou","2013",1.78333333333333,0.445833333333333,1.3375
"158","Blue Warehou","2014",1.81333333333333,0.453333333333333,1.36
"159","Blue Warehou","2015",1.44,0.36,1.08
"160","Blue Warehou","2016",1.75166666666667,0.437916666666667,1.31375
"161","Blue Warehou","2017",1.26666666666667,0.316666666666667,0.95
"162","Blue Warehou","2018",1.165697206,0.2914243015,0.8742729045
"163","Blue Warehou","2019",1.42697455216667,0.356743638041667,1.070230914125
"164","Blue Warehou","2020",1.4090513205,0.352262830125,1.056788490375
"165","Blue Warehou","2021",1.37735399933333,0.344338499833333,1.0330154995
"166","Bluenose","2008",4.695,1.17375,3.52125
"167","Bluenose","2009",4.695,1.17375,3.52125
"168","Bluenose","2010",4.805,1.20125,3.60375
"169","Bluenose","2011",4.47,1.1175,3.3525
"170","Bluenose","2012",4.435,1.10875,3.32625
"171","Bluenose","2013",4.775,1.19375,3.58125
"172","Bluenose","2014",5.11,1.2775,3.8325
"173","Bluenose","2015",4.97333333333333,1.24333333333333,3.73
"174","Bluenose","2016",6.01666666666667,1.50416666666667,4.5125
"175","Bluenose","2017",5.06,1.265,3.795
"176","Bluenose","2018",5.121331583,1.28033289575,3.84099868725
"177","Bluenose","2019",4.94889230383333,1.23722307595833,3.711669227875
"178","Bluenose","2020",4.87018423333333,1.21754605833333,3.652638175
"179","Bluenose","2021",5.292087036,1.323021759,3.969065277
"180","Broadbill Swordfish","2008",6.51,1.6275,4.8825
"181","Broadbill Swordfish","2009",6.51,1.6275,4.8825
"182","Broadbill Swordfish","2010",5.73,1.4325,4.2975
"183","Broadbill Swordfish","2011",5.27,1.3175,3.9525
"184","Broadbill Swordfish","2012",5.23,1.3075,3.9225
"185","Broadbill Swordfish","2013",5.53,1.3825,4.1475
"186","Broadbill Swordfish","2014",5.05,1.2625,3.7875
"187","Broadbill Swordfish","2015",4.65,1.1625,3.4875
"188","Broadbill Swordfish","2016",4.42,1.105,3.315
"189","Broadbill Swordfish","2017",5.35,1.3375,4.0125
"190","Broadbill Swordfish","2018",5.353071514,1.3382678785,4.0148036355
"191","Broadbill Swordfish","2019",6.224935855,1.55623396375,4.66870189125
"192","Broadbill Swordfish","2020",6.224935855,1.55623396375,4.66870189125
"193","Broadbill Swordfish","2021",6.224935855,1.55623396375,4.66870189125
"194","Butterfish","2008",3.49,0.8725,2.6175
"195","Butterfish","2009",3.49,0.8725,2.6175
"196","Butterfish","2010",4.91,1.2275,3.6825
"197","Butterfish","2011",4.7525,1.188125,3.564375
"198","Butterfish","2012",4.7125,1.178125,3.534375
"199","Butterfish","2013",4.6425,1.160625,3.481875
"200","Butterfish","2014",4.51125,1.1278125,3.3834375
"201","Butterfish","2015",4.72125,1.1803125,3.5409375
"202","Butterfish","2016",4.71125,1.1778125,3.5334375
"203","Butterfish","2017",4.55125,1.1378125,3.4134375
"204","Butterfish","2018",4.694036578125,1.17350914453125,3.52052743359375
"205","Butterfish","2019",4.823528424375,1.20588210609375,3.61764631828125
"206","Butterfish","2020",4.773956286875,1.19348907171875,3.58046721515625
"207","Butterfish","2021",4.649312339,1.16232808475,3.48698425425
"208","Cardinalfish","2012",1,0.25,0.75
"209","Cardinalfish","2013",1,0.25,0.75
"210","Cardinalfish","2014",1,0.25,0.75
"211","Cardinalfish","2015",1,0.25,0.75
"212","Cardinalfish","2016",1,0.25,0.75
"213","Cardinalfish","2017",1,0.25,0.75
"214","Cardinalfish","2018",1,0.25,0.75
"215","Cardinalfish","2019",1,0.25,0.75
"216","Cardinalfish","2020",1,0.25,0.75
"217","Cardinalfish","2021",1,0.25,0.75
"218","Cockles","2008",1.9,0.475,1.425
"219","Cockles","2009",1.9,0.475,1.425
"220","Cockles","2010",1.34,0.335,1.005
"221","Cockles","2011",0.98,0.245,0.735
"222","Cockles","2012",0.97,0.2425,0.7275
"223","Cockles","2013",0.97,0.2425,0.7275
"224","Cockles","2014",0.97,0.2425,0.7275
"225","Cockles","2015",0.97,0.2425,0.7275
"226","Cockles","2016",0.97,0.2425,0.7275
"227","Cockles","2017",0.97,0.2425,0.7275
"228","Cockles","2018",0.97,0.2425,0.7275
"229","Cockles","2019",0.97,0.2425,0.7275
"230","Cockles","2020",0.97,0.2425,0.7275
"231","Cockles","2021",0.893846153846154,0.223461538461538,0.670384615384615
"232","Crayfish","2008",38.53,9.6325,28.8975
"233","Crayfish","2009",38.53,9.6325,28.8975
"234","Crayfish","2010",56.61,14.1525,42.4575
"235","Crayfish","2011",63,15.75,47.25
"236","Crayfish","2012",66.47,16.6175,49.8525
"237","Crayfish","2013",66.31,16.5775,49.7325
"238","Crayfish","2014",68.1,17.025,51.075
"239","Crayfish","2015",72,18,54
"240","Crayfish","2016",74.6,18.65,55.95
"241","Crayfish","2017",81.617,20.40425,61.21275
"242","Crayfish","2018",79.58,19.895,59.685
"243","Crayfish","2019",85.83898125,21.4597453125,64.3792359375
"244","Crayfish","2020",79.92681623,19.9817040575,59.9451121725
"245","Crayfish","2021",68.23442216,17.05860554,51.17581662
"246","Elephant Fish","2008",2.325,0.58125,1.74375
"247","Elephant Fish","2009",2.325,0.58125,1.74375
"248","Elephant Fish","2010",1.86,0.465,1.395
"249","Elephant Fish","2011",2.185,0.54625,1.63875
"250","Elephant Fish","2012",2.16833333333333,0.542083333333333,1.62625
"251","Elephant Fish","2013",2.11333333333333,0.528333333333333,1.585
"252","Elephant Fish","2014",2.23833333333333,0.559583333333333,1.67875
"253","Elephant Fish","2015",2.275,0.56875,1.70625
"254","Elephant Fish","2016",2.21333333333333,0.553333333333333,1.66
"255","Elephant Fish","2017",2.38166666666667,0.595416666666667,1.78625
"256","Elephant Fish","2018",2.2632320225,0.565808005625,1.697424016875
"257","Elephant Fish","2019",2.35885250266667,0.589713125666667,1.769139377
"258","Elephant Fish","2020",1.9861740795,0.496543519875,1.489630559625
"259","Elephant Fish","2021",2.08516330166667,0.521290825416667,1.56387247625
"260","Flatfish","2008",3.318,0.8295,2.4885
"261","Flatfish","2009",3.318,0.8295,2.4885
"262","Flatfish","2010",3.106,0.7765,2.3295
"263","Flatfish","2011",2.952,0.738,2.214
"264","Flatfish","2012",2.932,0.733,2.199
"265","Flatfish","2013",4.332,1.083,3.249
"266","Flatfish","2014",4.364,1.091,3.273
"267","Flatfish","2015",5.574,1.3935,4.1805
"268","Flatfish","2016",4.344,1.086,3.258
"269","Flatfish","2017",4.342,1.0855,3.2565
"270","Flatfish","2018",4.8444650628,1.2111162657,3.6333487971
"271","Flatfish","2019",4.5902367636,1.1475591909,3.4426775727
"272","Flatfish","2020",5.1523417508,1.2880854377,3.8642563131
"273","Flatfish","2021",5.1562004996,1.2890501249,3.8671503747
"274","Freshwater Eels","2008",3.5,0.875,2.625
"275","Freshwater Eels","2009",3.5,0.875,2.625
"276","Freshwater Eels","2010",4,1,3
"277","Freshwater Eels","2011",4.34,1.085,3.255
"278","Freshwater Eels","2012",4.31,1.0775,3.2325
"279","Freshwater Eels","2013",4.31,1.0775,3.2325
"280","Freshwater Eels","2014",4.31,1.0775,3.2325
"281","Freshwater Eels","2015",4.31,1.0775,3.2325
"282","Freshwater Eels","2016",4.31,1.0775,3.2325
"283","Freshwater Eels","2017",NA,NA,NA
"284","Frostfish","2008",0.332,0.083,0.249
"285","Frostfish","2009",0.332,0.083,0.249
"286","Frostfish","2010",0.523,0.13075,0.39225
"287","Frostfish","2011",0.887,0.22175,0.66525
"288","Frostfish","2012",0.879,0.21975,0.65925
"289","Frostfish","2013",1.099,0.27475,0.82425
"290","Frostfish","2014",1.099,0.27475,0.82425
"291","Frostfish","2015",0.73,0.1825,0.5475
"292","Frostfish","2016",0.69,0.1725,0.5175
"293","Frostfish","2017",0.689,0.17225,0.51675
"294","Frostfish","2018",0.6786935896,0.1696733974,0.5090201922
"295","Frostfish","2019",0.6073817437,0.151845435925,0.455536307775
"296","Frostfish","2020",0.6136735652,0.1534183913,0.4602551739
"297","Frostfish","2021",0.6048244754,0.15120611885,0.45361835655
"298","Garfish","2008",6.17,1.5425,4.6275
"299","Garfish","2009",6.17,1.5425,4.6275
"300","Garfish","2010",8.26,2.065,6.195
"301","Garfish","2011",7.75,1.9375,5.8125
"302","Garfish","2012",7.69,1.9225,5.7675
"303","Garfish","2013",7.69,1.9225,5.7675
"304","Garfish","2014",7.69,1.9225,5.7675
"305","Garfish","2015",7.69,1.9225,5.7675
"306","Garfish","2016",7.69,1.9225,5.7675
"307","Garfish","2017",7.69,1.9225,5.7675
"308","Garfish","2018",7.69,1.9225,5.7675
"309","Garfish","2019",7.920180711,1.98004517775,5.94013553325
"310","Garfish","2020",8.11207777714286,2.02801944428571,6.08405833285714
"311","Garfish","2021",8.11207777714286,2.02801944428571,6.08405833285714
"312","Gemfish","2008",1.974,0.4935,1.4805
"313","Gemfish","2009",1.974,0.4935,1.4805
"314","Gemfish","2010",1.7,0.425,1.275
"315","Gemfish","2011",1.576,0.394,1.182
"316","Gemfish","2012",1.566,0.3915,1.1745
"317","Gemfish","2013",1.704,0.426,1.278
"318","Gemfish","2014",1.616,0.404,1.212
"319","Gemfish","2015",1.82,0.455,1.365
"320","Gemfish","2016",1.602,0.4005,1.2015
"321","Gemfish","2017",1.582,0.3955,1.1865
"322","Gemfish","2018",1.4458697638,0.36146744095,1.08440232285
"323","Gemfish","2019",1.6562625006,0.41406562515,1.24219687545
"324","Gemfish","2020",1.9010121222,0.47525303055,1.42575909165
"325","Gemfish","2021",1.6799088202,0.41997720505,1.25993161515
"326","Ghost Shark dark","2008",0.36,0.09,0.27
"327","Ghost Shark dark","2009",0.36,0.09,0.27
"328","Ghost Shark dark","2010",0.479,0.11975,0.35925
"329","Ghost Shark dark","2011",0.44,0.11,0.33
"330","Ghost Shark dark","2012",0.44,0.11,0.33
"331","Ghost Shark dark","2013",0.457,0.11425,0.34275
"332","Ghost Shark dark","2014",0.457,0.11425,0.34275
"333","Ghost Shark dark","2015",0.37,0.0925,0.2775
"334","Ghost Shark dark","2016",0.384,0.096,0.288
"335","Ghost Shark dark","2017",0.393,0.09825,0.29475
"336","Ghost Shark dark","2018",0.3534093911,0.088352347775,0.265057043325
"337","Ghost Shark dark","2019",0.3384213437,0.084605335925,0.253816007775
"338","Ghost Shark dark","2020",0.4111308742,0.10278271855,0.30834815565
"339","Ghost Shark dark","2021",0.4263729931,0.106593248275,0.319779744825
"340","Ghost Shark pale","2008",0.4,0.1,0.3
"341","Ghost Shark pale","2009",0.4,0.1,0.3
"342","Ghost Shark pale","2010",0.556666666666667,0.139166666666667,0.4175
"343","Ghost Shark pale","2011",0.5,0.125,0.375
"344","Ghost Shark pale","2012",0.5,0.125,0.375
"345","Ghost Shark pale","2013",0.446666666666667,0.111666666666667,0.335
"346","Ghost Shark pale","2014",0.446666666666667,0.111666666666667,0.335
"347","Ghost Shark pale","2015",0.416666666666667,0.104166666666667,0.3125
"348","Ghost Shark pale","2016",0.383333333333333,0.0958333333333333,0.2875
"349","Ghost Shark pale","2017",0.42,0.105,0.315
"350","Ghost Shark pale","2018",0.401983816,0.100495954,0.301487862
"351","Ghost Shark pale","2019",0.366429327,0.09160733175,0.27482199525
"352","Ghost Shark pale","2020",0.414884165333333,0.103721041333333,0.311163124
"353","Ghost Shark pale","2021",0.348320892,0.087080223,0.261240669
"354","Giant spider crab","2008",3,0.75,2.25
"355","Giant spider crab","2009",3,0.75,2.25
"356","Giant spider crab","2010",3.62,0.905,2.715
"357","Giant spider crab","2011",3.63,0.9075,2.7225
"358","Giant spider crab","2012",3.6,0.9,2.7
"359","Giant spider crab","2013",3.6,0.9,2.7
"360","Giant spider crab","2014",0.2,0.05,0.15
"361","Giant spider crab","2015",0.2,0.05,0.15
"362","Giant spider crab","2016",0.2,0.05,0.15
"363","Giant spider crab","2017",0.171666666666667,0.0429166666666667,0.12875
"364","Giant spider crab","2018",0.1716323215,0.042908080375,0.128724241125
"365","Giant spider crab","2019",0.1716323215,0.042908080375,0.128724241125
"366","Giant spider crab","2020",0.1716323215,0.042908080375,0.128724241125
"367","Giant spider crab","2021",0.1716323215,0.042908080375,0.128724241125
"368","Green Lipped Mussell","2008",0.71875,0.1796875,0.5390625
"369","Green Lipped Mussell","2009",0.71875,0.1796875,0.5390625
"370","Green Lipped Mussell","2010",0.86625,0.2165625,0.6496875
"371","Green Lipped Mussell","2011",0.86875,0.2171875,0.6515625
"372","Green Lipped Mussell","2012",0.86375,0.2159375,0.6478125
"373","Green Lipped Mussell","2013",0.86375,0.2159375,0.6478125
"374","Green Lipped Mussell","2014",0.86375,0.2159375,0.6478125
"375","Green Lipped Mussell","2015",0.86375,0.2159375,0.6478125
"376","Green Lipped Mussell","2016",0.86375,0.2159375,0.6478125
"377","Green Lipped Mussell","2017",0.86375,0.2159375,0.6478125
"378","Green Lipped Mussell","2018",0.86375,0.2159375,0.6478125
"379","Green Lipped Mussell","2019",0.86375,0.2159375,0.6478125
"380","Green Lipped Mussell","2020",0.86375,0.2159375,0.6478125
"381","Green Lipped Mussell","2021",0.86375,0.2159375,0.6478125
"382","Grey Mullet","2008",3.09,0.7725,2.3175
"383","Grey Mullet","2009",3.09,0.7725,2.3175
"384","Grey Mullet","2010",3.42,0.855,2.565
"385","Grey Mullet","2011",3.63,0.9075,2.7225
"386","Grey Mullet","2012",3.6,0.9,2.7
"387","Grey Mullet","2013",3.6,0.9,2.7
"388","Grey Mullet","2014",3.6,0.9,2.7
"389","Grey Mullet","2015",3.64,0.91,2.73
"390","Grey Mullet","2016",3.648,0.912,2.736
"391","Grey Mullet","2017",3.648,0.912,2.736
"392","Grey Mullet","2018",3.6479966004,0.9119991501,2.7359974503
"393","Grey Mullet","2019",3.832461335,0.95811533375,2.87434600125
"394","Grey Mullet","2020",3.8338182566,0.95845456415,2.87536369245
"395","Grey Mullet","2021",3.8313457888,0.9578364472,2.8735093416
"396","Gurnard","2008",1.84166666666667,0.460416666666667,1.38125
"397","Gurnard","2009",1.84166666666667,0.460416666666667,1.38125
"398","Gurnard","2010",2.06166666666667,0.515416666666667,1.54625
"399","Gurnard","2011",2.34666666666667,0.586666666666667,1.76
"400","Gurnard","2012",2.32666666666667,0.581666666666667,1.745
"401","Gurnard","2013",2.40166666666667,0.600416666666667,1.80125
"402","Gurnard","2014",2.385,0.59625,1.78875
"403","Gurnard","2015",1.995,0.49875,1.49625
"404","Gurnard","2016",2.235,0.55875,1.67625
"405","Gurnard","2017",2.365,0.59125,1.77375
"406","Gurnard","2018",2.4767265455,0.619181636375,1.857544909125
"407","Gurnard","2019",2.538871783,0.63471794575,1.90415383725
"408","Gurnard","2020",2.63121263466667,0.657803158666667,1.973409476
"409","Gurnard","2021",2.77839173383333,0.694597933458333,2.083793800375
"410","Hake","2008",1,0.25,0.75
"411","Hake","2009",1,0.25,0.75
"412","Hake","2010",1.51,0.3775,1.1325
"413","Hake","2011",1.2575,0.314375,0.943125
"414","Hake","2012",1.2475,0.311875,0.935625
"415","Hake","2013",1.225,0.30625,0.91875
"416","Hake","2014",1.225,0.30625,0.91875
"417","Hake","2015",1.215,0.30375,0.91125
"418","Hake","2016",1.2775,0.319375,0.958125
"419","Hake","2017",1.2225,0.305625,0.916875
"420","Hake","2018",1.357487562,0.3393718905,1.0181156715
"421","Hake","2019",1.436108748,0.359027187,1.077081561
"422","Hake","2020",1.37117511875,0.3427937796875,1.0283813390625
"423","Hake","2021",1.270605356,0.317651339,0.952954017
"424","Hapuku and Bass","2008",4.56375,1.1409375,3.4228125
"425","Hapuku and Bass","2009",4.56375,1.1409375,3.4228125
"426","Hapuku and Bass","2010",4.29125,1.0728125,3.2184375
"427","Hapuku and Bass","2011",4.5075,1.126875,3.380625
"428","Hapuku and Bass","2012",4.47,1.1175,3.3525
"429","Hapuku and Bass","2013",4.21125,1.0528125,3.1584375
"430","Hapuku and Bass","2014",4.2225,1.055625,3.166875
"431","Hapuku and Bass","2015",4.86,1.215,3.645
"432","Hapuku and Bass","2016",4.91375,1.2284375,3.6853125
"433","Hapuku and Bass","2017",4.70875,1.1771875,3.5315625
"434","Hapuku and Bass","2018",4.668359483375,1.16708987084375,3.50126961253125
"435","Hapuku and Bass","2019",4.85570243425,1.2139256085625,3.6417768256875
"436","Hapuku and Bass","2020",5.703111185125,1.42577779628125,4.27733338884375
"437","Hapuku and Bass","2021",5.58222659525,1.3955566488125,4.1866699464375
"438","Hoki","2008",0.6,0.15,0.45
"439","Hoki","2009",0.6,0.15,0.45
"440","Hoki","2010",0.82,0.205,0.615
"441","Hoki","2011",0.81,0.2025,0.6075
"442","Hoki","2012",0.8,0.2,0.6
"443","Hoki","2013",0.8,0.2,0.6
"444","Hoki","2014",0.8,0.2,0.6
"445","Hoki","2015",0.73,0.1825,0.5475
"446","Hoki","2016",0.72,0.18,0.54
"447","Hoki","2017",0.735,0.18375,0.55125
"448","Hoki","2018",0.73320193,0.1833004825,0.5499014475
"449","Hoki","2019",0.717133146,0.1792832865,0.5378498595
"450","Hoki","2020",0.7224232175,0.180605804375,0.541817413125
"451","Hoki","2021",0.730827917,0.18270697925,0.54812093775
"452","Horse mussel","2008",0.1,0.025,0.075
"453","Horse mussel","2009",0.1,0.025,0.075
"454","Horse mussel","2010",0.12,0.03,0.09
"455","Horse mussel","2011",0.12,0.03,0.09
"456","Horse mussel","2012",0.12,0.03,0.09
"457","Horse mussel","2013",0.12,0.03,0.09
"458","Horse mussel","2014",0.12,0.03,0.09
"459","Horse mussel","2015",0.12,0.03,0.09
"460","Horse mussel","2016",0.12,0.03,0.09
"461","Horse mussel","2017",0.12,0.03,0.09
"462","Horse mussel","2018",0.12,0.03,0.09
"463","Horse mussel","2019",0.12,0.03,0.09
"464","Horse mussel","2020",0.12,0.03,0.09
"465","Horse mussel","2021",0.12,0.03,0.09
"466","Jack Mackerel","2008",0.185,0.04625,0.13875
"467","Jack Mackerel","2009",0.185,0.04625,0.13875
"468","Jack Mackerel","2010",0.4075,0.101875,0.305625
"469","Jack Mackerel","2011",0.4,0.1,0.3
"470","Jack Mackerel","2012",0.4,0.1,0.3
"471","Jack Mackerel","2013",0.4075,0.101875,0.305625
"472","Jack Mackerel","2014",0.4075,0.101875,0.305625
"473","Jack Mackerel","2015",0.2925,0.073125,0.219375
"474","Jack Mackerel","2016",0.29,0.0725,0.2175
"475","Jack Mackerel","2017",0.2925,0.073125,0.219375
"476","Jack Mackerel","2018",0.2945594365,0.073639859125,0.220919577375
"477","Jack Mackerel","2019",0.2862395675,0.071559891875,0.214679675625
